inventory_path,document_name,url_used,local_path,status,bytes,sha256,notes
1. US FEDERAL LAW / 1.1 US Code Titles,35 USC,https://uscode.house.gov/download/download.shtml,raw/us_federal/35-usc,error,0,,"Request error: HTTPSConnectionPool(host='uscode.house.gov', port=443): Max retries exceeded with url: /download/download.shtml (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7c5d055dd010>, 'Connection to uscode.house.gov timed out. (connect timeout=30)'))"
1. US FEDERAL LAW / 1.1 US Code Titles,18 USC Ch.63,https://uscode.house.gov/download/download.shtml,raw/us_federal/18-usc-ch-63,error,0,,"Request error: HTTPSConnectionPool(host='uscode.house.gov', port=443): Max retries exceeded with url: /download/download.shtml (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7c5d055dd6d0>, 'Connection to uscode.house.gov timed out. (connect timeout=30)'))"
1. US FEDERAL LAW / 1.1 US Code Titles,15 USC §1681,https://www.ftc.gov/legal-library/browse/statutes/fair-credit-reporting-act,raw/us_federal/15-usc-ss1681,error,0,,HTTP error: 403 Client Error: Forbidden for url: https://www.ftc.gov/legal-library/browse/statutes/fair-credit-reporting-act
1. US FEDERAL LAW / 1.1 US Code Titles,15 USC §6801,https://www.ftc.gov/business-guidance/privacy-security/gramm-leach-bliley-act,raw/us_federal/15-usc-ss6801,error,0,,HTTP error: 403 Client Error: Forbidden for url: https://www.ftc.gov/business-guidance/privacy-security/gramm-leach-bliley-act
1. US FEDERAL LAW / 1.2 Code of Federal Regulations,29 CFR,https://www.ecfr.gov/current/title-29,raw/us_federal/29-cfr,success,4272,768f528a8f8b06deceb59224622df3cc5039d8c296277372954d2f873756d48f,
1. US FEDERAL LAW / 1.2 Code of Federal Regulations,37 CFR,https://www.ecfr.gov/current/title-37,raw/us_federal/37-cfr,success,4272,5b1a7fc0eae3e435936a7698eadb1f16da2f8f9dc10e7cab0e10f9e83a586ea6,
1. US FEDERAL LAW / 1.2 Code of Federal Regulations,16 CFR Part 310,https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-310,raw/us_federal/16-cfr-part-310,success,4272,01589d2cfde314587dbb541e8b2c49068149fa76f84a56191d9a8ccb41b3fb92,
1. US FEDERAL LAW / 1.2 Code of Federal Regulations,16 CFR Part 314,https://www.ecfr.gov/current/title-16/part-314,raw/us_federal/16-cfr-part-314,success,4272,47a1ff3fbd3275c64d5f6da5fd44d8e175f3a842308fa31fed3f8bca819342f3,
1. US FEDERAL LAW / 1.3 Named Federal Statutes,Defend Trade Secrets Act,https://www.congress.gov/114/plaws/publ153/PLAW-114publ153.pdf,raw/us_federal/defend-trade-secrets-act.pdf,success,262018,2c526decb25a6496544c24cdf56d4de773a1fcbd57c0721d982a9d98c8cd630f,
1. US FEDERAL LAW / 1.3 Named Federal Statutes,Work-for-Hire Definition,https://www.copyright.gov/title17/,raw/us_federal/work-for-hire-definition,success,35265,787cb0b8b81e3feaa2208b8e65f4e41ed1aa363106cf90ad348ab62aa293f88e,
1. US FEDERAL LAW / 1.3 Named Federal Statutes,Copyright Ownership,https://www.copyright.gov/title17/,raw/us_federal/copyright-ownership,success,35265,787cb0b8b81e3feaa2208b8e65f4e41ed1aa363106cf90ad348ab62aa293f88e,
1. US FEDERAL LAW / 1.3 Named Federal Statutes,FTC Non-Compete Rule,https://www.federalregister.gov/documents/2024/05/07/2024-09171/non-compete-clause-rule,raw/us_federal/ftc-non-compete-rule,success,4272,6c490dac33a4f6065f6abd3e94ceafb5f0236d505454632693802ae5a32580bc,
1. US FEDERAL LAW / 1.3 Named Federal Statutes,ADA Title I,https://www.eeoc.gov/statutes/titles-i-and-v-americans-disabilities-act-1990-ada,raw/us_federal/ada-title-i,success,118596,f24d430345a01f1fc9c9c37c6b3c8636d517c681bd9090bafef17f2d4c7a29a5,
1. US FEDERAL LAW / 1.4 Bulk Download Sources,GovInfo Bulk Data,https://www.govinfo.gov/bulkdata/,raw/us_federal/govinfo-bulk-data,success,67383,4b6a6e5eb328fa684b058bf9582448ae6f8a25d740d0f066e51dd927ff2dafea,
1. US FEDERAL LAW / 1.4 Bulk Download Sources,eCFR API v1,https://www.ecfr.gov/developers/documentation/api/v1,raw/us_federal/ecfr-api-v1,success,4272,00922d45d25f0a40f4c9420490fb335e75987f1da2061bcd8e6bcff825b541af,
1. US FEDERAL LAW / 1.4 Bulk Download Sources,House.gov Download,https://uscode.house.gov/download/download.shtml,raw/us_federal/house-gov-download,error,0,,"Request error: HTTPSConnectionPool(host='uscode.house.gov', port=443): Max retries exceeded with url: /download/download.shtml (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7c5d055dce00>, 'Connection to uscode.house.gov timed out. (connect timeout=30)'))"
1. US FEDERAL LAW / 1.4 Bulk Download Sources,Congress.gov,https://www.congress.gov/help/using-data-offsite,raw/us_federal/congress-gov,error,0,,HTTP error: 403 Client Error: Forbidden for url: https://www.congress.gov/help/using-data-offsite
2. US STATE LAW / 2.1 California (P0 - Most Restrictive),Non-Compete Ban,https://law.justia.com/codes/california/code-bpc/,raw/us_state/non-compete-ban,error,0,,HTTP error: 403 Client Error: Forbidden for url: https://law.justia.com/codes/california/code-bpc/
2. US STATE LAW / 2.1 California (P0 - Most Restrictive),Freelance Worker Protection Act,https://leginfo.legislature.ca.gov/,raw/us_state/freelance-worker-protection-act,success,162782,a9436c1ccbb969d2a72faf6bfb7a1ffc5e205a175efa919df6d871147c3af25a,
2. US STATE LAW / 2.1 California (P0 - Most Restrictive),ABC Test (IC Classification),https://leginfo.legislature.ca.gov/,raw/us_state/abc-test-ic-classification,success,162782,1d290744ba925a4ca504435ac655c821dad08e9a02b2712e1bd83be26ce60904,
2. US STATE LAW / 2.1 California (P0 - Most Restrictive),SILENCED Act,https://leginfo.legislature.ca.gov/,raw/us_state/silenced-act,success,164510,e3c22032a9db3e2dfbc320bae284b0413575ceaa5dda3c1ab86d91064f05f907,
2. US STATE LAW / 2.1 California (P0 - Most Restrictive),CCPA/CPRA,https://oag.ca.gov/privacy/ccpa,raw/us_state/ccpa-cpra,success,124204,02218b57d20f6ad5d9f1c8dbb82ec0682ac2a1642c17e89e5c54301c4c63723e,
2. US STATE LAW / 2.2 New York (P0 - Freelancer Protections),Freelance Isn't Free Act (State),https://dol.ny.gov/freelance-isnt-free-act,raw/us_state/freelance-isn-t-free-act-state,success,28498,ca0b66cefec7e251bef1b240d504fd0907d61496941b5c9a43d0f3dbcaeac0c1,
2. US STATE LAW / 2.2 New York (P0 - Freelancer Protections),Freelance Isn't Free Act (NYC),https://www.nyc.gov/site/dca/about/freelance-isnt-free-act.page,raw/us_state/freelance-isn-t-free-act-nyc,success,24521,71ae7beaf302def42ad06142096ce379fe4c63e3c40ea1e44c5d18f3ddb6a945,
2. US STATE LAW / 2.2 New York (P0 - Freelancer Protections),Non-Compete Standards,https://www.nysenate.gov/legislation/laws/GOB,raw/us_state/non-compete-standards,success,39443,f042d1eb21de998e5fd70b9d410595fea47671772457afdfe9c53927a3f9bb21,
2. US STATE LAW / 2.3 Texas (P1 - Employer-Friendly),Non-Compete Enforceability,https://codes.findlaw.com/tx/business-and-commerce-code/,raw/us_state/non-compete-enforceability,error,0,,HTTP error: 403 Client Error: Forbidden for url: https://codes.findlaw.com/tx/business-and-commerce-code/
2. US STATE LAW / 2.3 Texas (P1 - Employer-Friendly),Healthcare Non-Compete,https://capitol.texas.gov/,raw/us_state/healthcare-non-compete,success,34033,441a2988bd046c27e3f3131f2e5ab45aa887b4ebf6186bfe7f9a9bc8691b3fa6,
2. US STATE LAW / 2.4 Delaware (P1 - Governing Law Choice),Choice of Law,https://delcode.delaware.gov/title6/,raw/us_state/choice-of-law,success,21411,c7fb5f910f5ab2ceeb6834e078fa350d8a4c1d40a90c0f15bebf9b34b57af34e,
2. US STATE LAW / 2.4 Delaware (P1 - Governing Law Choice),Contract Law,https://delcode.delaware.gov/title6/c027/,raw/us_state/contract-law,success,7660,096323f253d05aa45b72fafe27ad80e1027a31ba73c5c0ef4386998090a8bc75,
2. US STATE LAW / 2.5 Other Key States,Restrictive Covenant Law - $101K+ threshold,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2. US STATE LAW / 2.5 Other Key States,Freedom to Work Act - $75K threshold,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2. US STATE LAW / 2.5 Other Key States,Non-Compete Law - $250K IC threshold,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2. US STATE LAW / 2.5 Other Key States,Non-Compete + CHOICE Act - 4-year expansion,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2. US STATE LAW / 2.5 Other Key States,ABC Test - Strict IC classification,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2. US STATE LAW / 2.5 Other Key States,Non-Compete Ban - Similar to CA,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2. US STATE LAW / 2.5 Other Key States,Non-Compete Ban - Similar to CA,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2. US STATE LAW / 2.5 Other Key States,Non-Compete Ban - Similar to CA,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
3. EUROPEAN UNION / 3.1 EU Directives,Transparent Working Conditions - Worker rights baseline,,raw/eu/transparent-working-conditions-worker-rights-baseline,error,0,,SPARQL error: 404 Client Error: Not Found for url: https://eur-lex.europa.eu/sparql?format=json&query=%0APREFIX+cdm%3A+%3Chttp%3A%2F%2Fpublications.europa.eu%2Fontology%2Fcdm%23%3E%0ASELECT+%3Fwork+%3Fpdf+WHERE+%7B%0A++%3Fwork+cdm%3Aresource_legal_id_celex+%2232019L1152%22+.%0A++OPTIONAL+%7B+%3Fexpression+cdm%3Aexpression_belongs_to_work+%3Fwork+.%0A+++++++++++++%3Fmanifestation+cdm%3Amanifestation_manifests_expression+%3Fexpression+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_file_type+%27pdf%27+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_access_url+%3Fpdf+%7D%0A%7D%0A
3. EUROPEAN UNION / 3.1 EU Directives,Platform Workers Directive - Gig economy status,,raw/eu/platform-workers-directive-gig-economy-status,error,0,,SPARQL error: 404 Client Error: Not Found for url: https://eur-lex.europa.eu/sparql?format=json&query=%0APREFIX+cdm%3A+%3Chttp%3A%2F%2Fpublications.europa.eu%2Fontology%2Fcdm%23%3E%0ASELECT+%3Fwork+%3Fpdf+WHERE+%7B%0A++%3Fwork+cdm%3Aresource_legal_id_celex+%2232024L2831%22+.%0A++OPTIONAL+%7B+%3Fexpression+cdm%3Aexpression_belongs_to_work+%3Fwork+.%0A+++++++++++++%3Fmanifestation+cdm%3Amanifestation_manifests_expression+%3Fexpression+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_file_type+%27pdf%27+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_access_url+%3Fpdf+%7D%0A%7D%0A
3. EUROPEAN UNION / 3.1 EU Directives,Copyright Directive - IP ownership,,raw/eu/copyright-directive-ip-ownership,error,0,,SPARQL error: 404 Client Error: Not Found for url: https://eur-lex.europa.eu/sparql?format=json&query=%0APREFIX+cdm%3A+%3Chttp%3A%2F%2Fpublications.europa.eu%2Fontology%2Fcdm%23%3E%0ASELECT+%3Fwork+%3Fpdf+WHERE+%7B%0A++%3Fwork+cdm%3Aresource_legal_id_celex+%2232019L0790%22+.%0A++OPTIONAL+%7B+%3Fexpression+cdm%3Aexpression_belongs_to_work+%3Fwork+.%0A+++++++++++++%3Fmanifestation+cdm%3Amanifestation_manifests_expression+%3Fexpression+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_file_type+%27pdf%27+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_access_url+%3Fpdf+%7D%0A%7D%0A
3. EUROPEAN UNION / 3.1 EU Directives,Trade Secrets Directive - Confidentiality,,raw/eu/trade-secrets-directive-confidentiality,error,0,,SPARQL error: 404 Client Error: Not Found for url: https://eur-lex.europa.eu/sparql?format=json&query=%0APREFIX+cdm%3A+%3Chttp%3A%2F%2Fpublications.europa.eu%2Fontology%2Fcdm%23%3E%0ASELECT+%3Fwork+%3Fpdf+WHERE+%7B%0A++%3Fwork+cdm%3Aresource_legal_id_celex+%2232016L0943%22+.%0A++OPTIONAL+%7B+%3Fexpression+cdm%3Aexpression_belongs_to_work+%3Fwork+.%0A+++++++++++++%3Fmanifestation+cdm%3Amanifestation_manifests_expression+%3Fexpression+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_file_type+%27pdf%27+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_access_url+%3Fpdf+%7D%0A%7D%0A
3. EUROPEAN UNION / 3.1 EU Directives,GDPR - Data processing,,raw/eu/gdpr-data-processing,error,0,,SPARQL error: 404 Client Error: Not Found for url: https://eur-lex.europa.eu/sparql?format=json&query=%0APREFIX+cdm%3A+%3Chttp%3A%2F%2Fpublications.europa.eu%2Fontology%2Fcdm%23%3E%0ASELECT+%3Fwork+%3Fpdf+WHERE+%7B%0A++%3Fwork+cdm%3Aresource_legal_id_celex+%2232016R0679%22+.%0A++OPTIONAL+%7B+%3Fexpression+cdm%3Aexpression_belongs_to_work+%3Fwork+.%0A+++++++++++++%3Fmanifestation+cdm%3Amanifestation_manifests_expression+%3Fexpression+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_file_type+%27pdf%27+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_access_url+%3Fpdf+%7D%0A%7D%0A
3. EUROPEAN UNION / 3.1 EU Directives,Rental/Lending Rights - IP licensing,,raw/eu/rental-lending-rights-ip-licensing,error,0,,SPARQL error: 404 Client Error: Not Found for url: https://eur-lex.europa.eu/sparql?format=json&query=%0APREFIX+cdm%3A+%3Chttp%3A%2F%2Fpublications.europa.eu%2Fontology%2Fcdm%23%3E%0ASELECT+%3Fwork+%3Fpdf+WHERE+%7B%0A++%3Fwork+cdm%3Aresource_legal_id_celex+%2232006L0115%22+.%0A++OPTIONAL+%7B+%3Fexpression+cdm%3Aexpression_belongs_to_work+%3Fwork+.%0A+++++++++++++%3Fmanifestation+cdm%3Amanifestation_manifests_expression+%3Fexpression+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_file_type+%27pdf%27+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_access_url+%3Fpdf+%7D%0A%7D%0A
3. EUROPEAN UNION / 3.1 EU Directives,OSH Framework - Health & safety,,raw/eu/osh-framework-health-safety,error,0,,SPARQL error: 404 Client Error: Not Found for url: https://eur-lex.europa.eu/sparql?format=json&query=%0APREFIX+cdm%3A+%3Chttp%3A%2F%2Fpublications.europa.eu%2Fontology%2Fcdm%23%3E%0ASELECT+%3Fwork+%3Fpdf+WHERE+%7B%0A++%3Fwork+cdm%3Aresource_legal_id_celex+%2231989L0391%22+.%0A++OPTIONAL+%7B+%3Fexpression+cdm%3Aexpression_belongs_to_work+%3Fwork+.%0A+++++++++++++%3Fmanifestation+cdm%3Amanifestation_manifests_expression+%3Fexpression+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_file_type+%27pdf%27+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_access_url+%3Fpdf+%7D%0A%7D%0A
3. EUROPEAN UNION / 3.2 EU Regulations,Digital Services Act - Platform obligations,,raw/eu/digital-services-act-platform-obligations,error,0,,SPARQL error: 404 Client Error: Not Found for url: https://eur-lex.europa.eu/sparql?format=json&query=%0APREFIX+cdm%3A+%3Chttp%3A%2F%2Fpublications.europa.eu%2Fontology%2Fcdm%23%3E%0ASELECT+%3Fwork+%3Fpdf+WHERE+%7B%0A++%3Fwork+cdm%3Aresource_legal_id_celex+%2232022R2065%22+.%0A++OPTIONAL+%7B+%3Fexpression+cdm%3Aexpression_belongs_to_work+%3Fwork+.%0A+++++++++++++%3Fmanifestation+cdm%3Amanifestation_manifests_expression+%3Fexpression+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_file_type+%27pdf%27+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_access_url+%3Fpdf+%7D%0A%7D%0A
3. EUROPEAN UNION / 3.2 EU Regulations,EU AI Act - AI training rights,,raw/eu/eu-ai-act-ai-training-rights,error,0,,SPARQL error: 404 Client Error: Not Found for url: https://eur-lex.europa.eu/sparql?format=json&query=%0APREFIX+cdm%3A+%3Chttp%3A%2F%2Fpublications.europa.eu%2Fontology%2Fcdm%23%3E%0ASELECT+%3Fwork+%3Fpdf+WHERE+%7B%0A++%3Fwork+cdm%3Aresource_legal_id_celex+%2232024R1689%22+.%0A++OPTIONAL+%7B+%3Fexpression+cdm%3Aexpression_belongs_to_work+%3Fwork+.%0A+++++++++++++%3Fmanifestation+cdm%3Amanifestation_manifests_expression+%3Fexpression+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_file_type+%27pdf%27+.%0A+++++++++++++%3Fpdf+cdm%3Amanifestation_access_url+%3Fpdf+%7D%0A%7D%0A
4. GERMANY / 4.1 Bürgerliches Gesetzbuch (BGB - Civil Code),§611 et seq. - Service Contract (Dienstvertrag),https://www.gesetze-im-internet.de/englisch_bgb/,raw/germany/ss611-et-seq-service-contract-dienstvertrag,success,498837,c15aee9c1a2e98de7f3869bd4ada610dbe1a9f5e04c7879cb48a560df27a1ec3,
4. GERMANY / 4.1 Bürgerliches Gesetzbuch (BGB - Civil Code),§631 et seq. - Work Contract (Werkvertrag),https://www.gesetze-im-internet.de/englisch_bgb/,raw/germany/ss631-et-seq-work-contract-werkvertrag,success,498837,c15aee9c1a2e98de7f3869bd4ada610dbe1a9f5e04c7879cb48a560df27a1ec3,
4. GERMANY / 4.1 Bürgerliches Gesetzbuch (BGB - Civil Code),§611a - Employee vs Self-Employed,https://www.gesetze-im-internet.de/englisch_bgb/,raw/germany/ss611a-employee-vs-self-employed,success,498837,c15aee9c1a2e98de7f3869bd4ada610dbe1a9f5e04c7879cb48a560df27a1ec3,
4. GERMANY / 4.1 Bürgerliches Gesetzbuch (BGB - Civil Code),§705 et seq. - Partnership (GbR),https://www.gesetze-im-internet.de/englisch_bgb/,raw/germany/ss705-et-seq-partnership-gbr,success,498837,c15aee9c1a2e98de7f3869bd4ada610dbe1a9f5e04c7879cb48a560df27a1ec3,
4. GERMANY / 4.1 Bürgerliches Gesetzbuch (BGB - Civil Code),§14 - Entrepreneur Definition,https://www.gesetze-im-internet.de/englisch_bgb/,raw/germany/ss14-entrepreneur-definition,success,498837,c15aee9c1a2e98de7f3869bd4ada610dbe1a9f5e04c7879cb48a560df27a1ec3,
4. GERMANY / 4.2 Other German Law,UWG (Unfair Competition) - Business practices,https://www.gesetze-im-internet.de/englisch_uwg/,raw/germany/uwg-unfair-competition-business-practices,success,13442,00b1d8693206228c3acbd0eadc421006530f2446ab4a3b7b7e4db1be97e58910,
4. GERMANY / 4.2 Other German Law,SGB IV §7 - Social security classification,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
5. FRANCE / 5.1 Code du Travail (Labor Code),"L1221-6, L1221-19 - Recruitment, trial periods",https://www.legifrance.gouv.fr/codes/,raw/france/l1221-6-l1221-19-recruitment-trial-periods,error,0,,HTTP error: 403 Client Error: Forbidden for url: https://www.legifrance.gouv.fr/codes/
5. FRANCE / 5.1 Code du Travail (Labor Code),"L1222-1, L1222-9 - Good faith, remote work",https://www.legifrance.gouv.fr/codes/,raw/france/l1222-1-l1222-9-good-faith-remote-work,error,0,,HTTP error: 403 Client Error: Forbidden for url: https://www.legifrance.gouv.fr/codes/
5. FRANCE / 5.2 Code de la Propriété Intellectuelle,L.111-1 - Copyright ownership default,https://www.legifrance.gouv.fr/,raw/france/l-111-1-copyright-ownership-default,error,0,,HTTP error: 403 Client Error: Forbidden for url: https://www.legifrance.gouv.fr/
5. FRANCE / 5.2 Code de la Propriété Intellectuelle,"D132-28, D132-29 - Freelance photographer rates",https://www.legifrance.gouv.fr/,raw/france/d132-28-d132-29-freelance-photographer-rates,error,0,,HTTP error: 403 Client Error: Forbidden for url: https://www.legifrance.gouv.fr/
5. FRANCE / 5.2 Code de la Propriété Intellectuelle,Part 2 - Industrial property,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
6. CANADA / 6.1 Federal Legislation,Copyright Act,https://laws-lois.justice.gc.ca/eng/acts/C-42/,raw/canada/copyright-act,success,38443,2af1030a0f868c3a4b50ebf98ea40d7b4ea1e0224643f311f2871d497407bc0b,
6. CANADA / 6.1 Federal Legislation,Competition Act,https://laws.justice.gc.ca/eng/acts/C-34/,raw/canada/competition-act,success,27175,1efb1cbc3922655de2fa1dcdfa2c0c41e84e88ed8b44bd5fff7c2593baa6fff7,
6. CANADA / 6.1 Federal Legislation,Canada Labour Code,https://laws.justice.gc.ca/eng/acts/L-2/,raw/canada/canada-labour-code.html,success,46628,9de51f891ba3c45de2e83350fe0c0e6fc9426dead3d83c95c7ec98e10d3fa1e2,Official Justice Laws website (html).
6. CANADA / 6.1 Federal Legislation,PIPEDA,https://www.priv.gc.ca/en/privacy-topics/privacy-laws-in-canada/the-personal-information-protection-and-electronic-documents-act-pipeda/,raw/canada/pipeda,success,25833,c99f09543c7857d41738f60c93a4629676b61a336feb235fbd7db31400c00f31,
6. CANADA / 6.1 Federal Legislation,Employment Insurance Act,https://laws-lois.justice.gc.ca/eng/acts/E-5.6/,raw/canada/employment-insurance-act.html,success,35024,6149a59803e400dce008ac3b24b2a79946498e09d2f386748dca796b9a86cb37,Justice Laws html.
6. CANADA / 6.1 Federal Legislation,Employment Equity Act,https://laws-lois.justice.gc.ca/eng/acts/E-5.401/,raw/canada/employment-equity-act.html,success,20657,5fa36477d9154e65281a83831254d55306c6022eb392eed61251ec27570df478,Justice Laws html.
6. CANADA / 6.2 Provincial Legislation,Employment Standards Act,https://www.ontario.ca/laws/statute/00e41,raw/canada/employment-standards-act,success,53141,672384e19be379317c46886265bf504e134989138b4b6fa3a1a303fd3e10fb93,
6. CANADA / 6.2 Provincial Legislation,Employment Standards Act,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
6. CANADA / 6.2 Provincial Legislation,Labour Standards Act,https://www.legisquebec.gouv.qc.ca/en/document/cs/N-1.1,raw/canada/labour-standards-act.html,success,716341,74378c3e9cdd436c1cade59725764179394f78ab538738323663e16d171c2365,LegisQuébec English text.
7. AUSTRALIA / 7.1 Federal Legislation,Fair Work Act 2009,https://www.legislation.gov.au/Series/C2009A00028,raw/australia/fair-work-act-2009.html,success,165322,7f39c94be15396c06dcbf0eee8b8f204ec4d5df8e1c0f97667250b084f12e943,Official Commonwealth legislation.
7. AUSTRALIA / 7.1 Federal Legislation,Independent Contractors Act 2006,https://www.legislation.gov.au/Series/C2006A00162,raw/australia/independent-contractors-act-2006,success,154588,86c18976f7c399459b9699e5d1fc83d1704c90089b8da52fd3387313a06d6228,
7. AUSTRALIA / 7.1 Federal Legislation,Copyright Act 1968,https://www.legislation.gov.au/Series/C1968A00063,raw/australia/copyright-act-1968.html,success,160309,3e2692e356935714e3ae194386ceb8e42219c67c273306c7c8a1d9e6c8a14699,Official Commonwealth legislation.
7. AUSTRALIA / 7.1 Federal Legislation,Competition and Consumer Act 2010,https://www.legislation.gov.au/C2004A00109/latest,raw/australia/competition-and-consumer-act-2010,success,1333871,4c61581f971c33a6145b849d6aad869989f86c613f3a7b72fefe24f55e139ff0,
7. AUSTRALIA / 7.1 Federal Legislation,Privacy Act 1988,https://www.legislation.gov.au/Series/C2004A03712,raw/australia/privacy-act-1988.html,success,160983,2278aef569d3be13a79b9c5a718ecd11bb094d46d4680d26a11d5812c750730b,Official Commonwealth legislation.
7. AUSTRALIA / 7.1 Federal Legislation,Australian Consumer Law,https://www.legislation.gov.au/C2004A00109/latest,raw/australia/australian-consumer-law,success,1333871,bdc461c9abb68249e9f0a3588a8aa91f2a4aab77294dd6613b83b06d2ee11fe1,
8. UNITED KINGDOM / 8.1 Acts of Parliament,Employment Rights Act 1996,https://www.legislation.gov.uk/ukpga/1996/18/contents,raw/uk/employment-rights-act-1996,success,234794,f72b8ed35ee46f25acf84bb8263298d61644e932dae0907290372cffbda0f892,
8. UNITED KINGDOM / 8.1 Acts of Parliament,"Copyright, Designs and Patents Act 1988",https://www.legislation.gov.uk/ukpga/1988/48,raw/uk/copyright-designs-and-patents-act-1988,success,4083690,55d91ce6f35fc835e751b1b8ba2cb1625136c9e917d59b07c00b2594020d3423,
8. UNITED KINGDOM / 8.1 Acts of Parliament,Patents Act 1977,https://www.legislation.gov.uk/ukpga/1977/37,raw/uk/patents-act-1977,success,1497139,19df13c0375d1620efa7b8fab54dedb7c580e5e919053252b7a13bd11c8c1d90,
8. UNITED KINGDOM / 8.1 Acts of Parliament,Trade Secrets Regulations 2018,https://www.legislation.gov.uk/uksi/2018/597/made,raw/uk/trade-secrets-regulations-2018,success,79427,e00a06553147a784e4a7196c0d91ddf7b6406e17a20fbe0ae0205c1adf4b5d58,
8. UNITED KINGDOM / 8.2 IR35 (Off-Payroll Working),Social Security (Intermediaries) Regs,https://www.legislation.gov.uk/uksi/2000/727,raw/uk/social-security-intermediaries-regs,success,312018,0dbb4125336770bebf17ee00c5df3378c15751ecb8216694904a130393bd31ce,
8. UNITED KINGDOM / 8.2 IR35 (Off-Payroll Working),ITEPA 2003 Part 2 Ch.8,https://www.legislation.gov.uk/ukpga/2003/1,raw/uk/itepa-2003-part-2-ch-8,success,9786044,4bcaee53dc08d4514246eb84db30d9e05b05c0fa5e5311a4f9bbdeae71a9aff4,
