document_name,category,citation,year,url,filepath,file_size_bytes,sha256,download_timestamp,status,notes
Stamp Duty Land Tax (Temporary Relief) Act 2020,tax,c. 15,2020,https://www.legislation.gov.uk/ukpga/2020/15/contents,/home/setup/if-legal-corpus/raw/uk/tax/stamp-duty-land-tax-temporary-relief-act-2020,25603,N/A,2025-11-28T00:00:00,SUCCESS,P2 - Temporary relief
Stamp Duty Land Tax (Temporary Relief) Act 2023,tax,c. 2,2023,https://www.legislation.gov.uk/ukpga/2023/2,/home/setup/if-legal-corpus/raw/uk/tax/stamp-duty-land-tax-temporary-relief-act-2023,44599,N/A,2025-11-28T00:00:00,SUCCESS,P2 - Temporary relief
Partnership Act 1890,accounting,c. 39,1890,https://www.legislation.gov.uk/ukpga/Vict/53-54/39,/home/setup/if-legal-corpus/raw/uk/accounting/partnership-act-1890,119624,N/A,2025-11-28T00:00:00,SUCCESS,P1 - Partnership law
Limited Liability Partnerships Act 2000,accounting,c. 12,2000,https://www.legislation.gov.uk/ukpga/2000/12,/home/setup/if-legal-corpus/raw/uk/accounting/limited-liability-partnerships-act-2000,222377,N/A,2025-11-28T00:00:00,SUCCESS,P0 - LLP framework
Limited Liability Partnerships Regulations 2001,accounting,SI 2001/1090,2001,https://www.legislation.gov.uk/uksi/2001/1090,/home/setup/if-legal-corpus/raw/uk/accounting/limited-liability-partnerships-regulations-2001,511200,N/A,2025-11-28T00:00:00,SUCCESS,P1 - LLP procedures
The Limited Liability Partnerships (Application of Companies Act 2006) Regulations 2009,accounting,SI 2009/1804,2009,https://www.legislation.gov.uk/uksi/2009/1804,/home/setup/if-legal-corpus/raw/uk/accounting/the-limited-liability-partnerships-application-of-companies-act-2006-regulations-2009,1614452,N/A,2025-11-28T00:00:00,SUCCESS,P1 - LLP compliance
The Limited Liability Partnerships (Application of Company Law) Regulations 2024,accounting,SI 2024/234,2024,https://www.legislation.gov.uk/uksi/2024/234,/home/setup/if-legal-corpus/raw/uk/accounting/the-limited-liability-partnerships-application-of-company-law-regulations-2024,253114,N/A,2025-11-28T00:00:00,SUCCESS,P1 - Recent LLP changes
The Companies Act 2006 (Amendment) (Accounts and Reports) Regulations 2008,accounting,SI 2008/393,2008,https://www.legislation.gov.uk/uksi/2008/393,/home/setup/if-legal-corpus/raw/uk/accounting/the-companies-act-2006-amendment-accounts-and-reports-regulations-2008,59063,N/A,2025-11-28T00:00:00,SUCCESS,P1 - Accounting requirements
Sale of Goods Act 1979,commercial,c. 54,1979,https://www.legislation.gov.uk/ukpga/1979/54,/home/setup/if-legal-corpus/raw/uk/commercial/sale-of-goods-act-1979,392201,N/A,2025-11-28T00:00:00,SUCCESS,P0 - Sales framework
Supply of Goods and Services Act 1982,commercial,c. 29,1982,https://www.legislation.gov.uk/ukpga/1982/29,/home/setup/if-legal-corpus/raw/uk/commercial/supply-of-goods-and-services-act-1982,310798,N/A,2025-11-28T00:00:00,SUCCESS,P0 - Services framework
Contracts (Rights of Third Parties) Act 1999,commercial,c. 31,1999,https://www.legislation.gov.uk/ukpga/1999/31,/home/setup/if-legal-corpus/raw/uk/commercial/contracts-rights-of-third-parties-act-1999,82097,N/A,2025-11-28T00:00:00,SUCCESS,P0 - Third party rights
Consumer Rights Act 2015,commercial,c. 15,2015,https://www.legislation.gov.uk/ukpga/2015/15,/home/setup/if-legal-corpus/raw/uk/commercial/consumer-rights-act-2015,2082649,N/A,2025-11-28T00:00:00,SUCCESS,P0 - Consumer protection
Sale and Supply of Goods Act 1994,commercial,c. 35,1994,https://www.legislation.gov.uk/ukpga/1994/35,/home/setup/if-legal-corpus/raw/uk/commercial/sale-and-supply-of-goods-act-1994,166080,N/A,2025-11-28T00:00:00,SUCCESS,P1 - Goods quality
Unfair Contract Terms Act 1977,commercial,c. 50,1977,https://www.legislation.gov.uk/ukpga/1977/50,/home/setup/if-legal-corpus/raw/uk/commercial/unfair-contract-terms-act-1977,289358,N/A,2025-11-28T00:00:00,SUCCESS,P1 - Contract fairness
